EBI Biomes	environmental feature	environmental material	biome	quality	GOLD Path > delim
Mangrove swamp			http://purl.obolibrary.org/obo/ENVO_00000057		root > Environmental > Aquatic > Marine > Intertidal zone > Mangrove swamp
Microbialites			http://purl.obolibrary.org/obo/ENVO_01001468		root > Environmental > Aquatic > Marine > Intertidal zone > Microbialites
Oil-contaminated		http://purl.obolibrary.org/obo/ENVO_00002985	http://purl.obolibrary.org/obo/ENVO_01001468		root > Environmental > Aquatic > Marine > Intertidal zone > Oil-contaminated
Salt marsh			http://purl.obolibrary.org/obo/ENVO_01000022		root > Environmental > Aquatic > Marine > Intertidal zone > Salt marsh
Sediment		http://purl.obolibrary.org/obo/ENVO_00002179	http://purl.obolibrary.org/obo/ENVO_01001468		root > Environmental > Aquatic > Marine > Intertidal zone > Sediment
Marginal Sea			http://purl.obolibrary.org/obo/ENVO_01000046		root > Environmental > Aquatic > Marine > Marginal Sea
Neritic zone			http://purl.obolibrary.org/obo/ENVO_01000032		root > Environmental > Aquatic > Marine > Neritic zone
Oil-contaminated sediment		http://purl.obolibrary.org/obo/ENVO_00002985			root > Environmental > Aquatic > Marine > Neritic zone > Oil-contaminated sediment
Sediment		http://purl.obolibrary.org/obo/ENVO_03000033	http://purl.obolibrary.org/obo/ENVO_01000032		root > Environmental > Aquatic > Marine > Neritic zone > Sediment
Oceanic			http://purl.obolibrary.org/obo/ENVO_01000048		root > Environmental > Aquatic > Marine > Oceanic
Abyssal plane	http://purl.obolibrary.org/obo/ENVO_00000244		http://purl.obolibrary.org/obo/ENVO_01000027		root > Environmental > Aquatic > Marine > Oceanic > Abyssal plane
Aphotic zone	http://purl.obolibrary.org/obo/ENVO_00000210		http://purl.obolibrary.org/obo/ENVO_01000048		root > Environmental > Aquatic > Marine > Oceanic > Aphotic zone
Benthic	http://purl.obolibrary.org/obo/ENVO_01000105		http://purl.obolibrary.org/obo/ENVO_01000024		root > Environmental > Aquatic > Marine > Oceanic > Benthic
